Index,Category,Technology / Concept / Term,Component / Module,Technical Definition & Architectural Role,Key Attributes & Technical Specs
1,Blockchain Core,Sui L1 Network,Core Infrastructure,High-throughput Layer 1 blockchain optimized for fast execution horizontal scalability and low latency object storage.,Move VM; parallel transaction processing; sub-second finality
2,Consensus,Mysticeti Consensus Engine,L1 Consensus Layer,Next-generation DAG-based consensus protocol powering Sui reducing validator commit latency to sub-second speeds.,11ms - 390ms latency; Byzantine Fault Tolerant (BFT); asynchronous DAG rounds
3,Smart Contracts,Sui Move,Compiler & Smart Contracts,Object-centric smart contract programming language focused on safe resource management asset ownership and bytecode verification.,Linear logic; object-centric model; capability security; byte-level verification
4,Execution Model,Programmable Transaction Blocks (PTB),Compiler & DeepBook Trading,Atomic multi-instruction execution bundles allowing developers to chain up to 1024 commands in a single transaction with output passing.,Atomic execution; zero gas wastage on chained calls; composable commands
5,Data Model,Object-Centric Storage Model,Sui Core State,Data architecture where everything is an object with globally unique 32-byte UID versioning and explicit ownership (Owned vs Shared).,UID; TxContext; shared objects; dynamic field extensions
6,Cryptography,ECDSA SEC_P256,Gateway & Security,Elliptic Curve Digital Signature Algorithm over the NIST P-256 prime curve used for high-security transaction authorization.,256-bit key length; asymmetric keypairs; cryptographic signature verification
7,Cryptography,Ed25519,Wallet & Key Management,High-speed Edwards-curve digital signature algorithm standard for fast Web3 keypair creation and transaction signing.,128-bit security level; resistant to side-channel attacks; deterministic
8,Storage & Encryption,Walrus Protocol,Walrus Decentralized Vault,Decentralized blob archival protocol designed for large binary payloads on Sui using erasure coding and certified epochs.,Epoch-based storage; high availability; decentralized shard routing
9,Cryptography,AES-256-GCM,Walrus Backend Storage,Advanced Encryption Standard in Galois/Counter Mode providing authenticated symmetric encryption and cryptographic integrity verification.,256-bit symmetric cipher; 96-bit initialization vector (IV); 128-bit authentication tag
10,Coding Theory,Reed-Solomon (8 6) Erasure Coding,Walrus Shard Engine,Algebraic error-correction algorithm that partitions payloads into 6 primary data shards + 2 parity shards tolerating loss of any 2 shards.,N=8 K=6 P=2; deterministic matrix multiplication; fault recovery
11,Data Structures,Merkle Tree & Merkle Root,Walrus Proof Engine,Cryptographic binary hash tree where leaf nodes store SHA-256 shard digests and parent nodes hash combined pairs up to a root hash.,SHA-256 hashing; logarithmic inclusion proofs O(log N); tamper-proof integrity
12,DeFi & Liquidity,DeepBook v3 CLOB,DeepBook Trading Engine,On-chain Central Limit Order Book with ultra-low latency matching maker rebates and native Move atomic execution.,Zero orderbook indexing latency; order ID hashing; depth ladders; maker-taker fees
13,3D Graphics,Geodesic Mysticeti Sphere,Institutional Gateway,Real-time 3D polyhedral visualization of the consensus state featuring glowing icosahedral faces wireframe cage and orbital particles.,Three.js WebGL; IcosahedronGeometry; dynamic emissive shader shifting
14,3D Graphics,Holographic Tesseract Vault Cube,Walrus 3D Stage,Multi-tiered 3D storage vault model that physically explodes into an 8-shard constellation with dynamic laser links upon detonation.,BoxGeometry; TorusGeometry; gyroscopic rotation; dynamic laser beam vectors
15,Institutional DeFi,Multi-Wallet CSV Batch Provisioning,DeepBook Gateway,Ingestion pipeline that parses institutional .csv portfolios and assigns allocations across 10 parallel node clusters.,portfolio.csv; parallel node streaming ([NODE-SYNC-01..10]); batch verification
16,Market Data,12-Asset L2 Matrix,CLOB Terminal Marquee,Real-time streaming market data ticker tracking spot prices 24h percentage changes and spreads for 12 major assets.,SUI; BTC; ETH; SOL; PAXG (Gold); CETUS; NAVX; DEEP; WAL; USDC; USDT; BLCX
